sample_id,species,genotype_class,check,genotype,tissue,date,plate_pos,plate,batch,run,experimental_group,row,column
PN1_SID1,Zea_mays,ril,no,LANPT16B069,leaf,Sep082026,A01,1,1,1,1,C,8
PN1_SID2,Zea_mays,ril,no,LANPT16B326,leaf,Sep082026,A02,1,1,1,1,B,17
PN1_SID3,Zea_mays,b73,yes,B73_05,leaf,Sep082026,A03,1,1,1,1,F,5
PN1_SID4,Zea_mays,b73,yes,B73_11,leaf,Sep082026,A04,1,1,1,1,D,16
PN1_SID5,Zea_mays,ril,no,LANPT16B222,leaf,Sep082026,A05,1,1,1,1,A,17
PN1_SID6,Zea_mays,b73,yes,B73_01,leaf,Sep082026,A06,1,1,1,1,A,3
PN1_SID7,Zea_mays,ril,no,LANPT16B317,leaf,Sep082026,A07,1,1,1,1,C,5
PN1_SID8,Zea_mays,ril,no,LANPT16B100,leaf,Sep082026,A08,1,1,1,1,C,17
PN1_SID9,Zea_mays,ril,no,LANPT16B331,leaf,Sep082026,A09,1,1,1,1,C,15
PN1_SID10,Zea_mays,ril,no,LANPT16B213,leaf,Sep082026,A10,1,1,1,1,A,8
PN1_SID11,Zea_mays,ril,no,LANPT16B348,leaf,Sep082026,A11,1,1,1,1,F,10
PN1_SID12,Zea_mays,ril,no,LANPT16B131,leaf,Sep082026,A12,1,1,1,1,D,15
PN1_SID13,Zea_mays,ril,no,LANPT16B010,leaf,Sep082026,B01,1,1,1,1,C,6
PN1_SID14,Zea_mays,ril,no,LANPT16B216,leaf,Sep082026,B02,1,1,1,1,B,12
PN1_SID15,Zea_mays,ril,no,LANPT16B355,leaf,Sep082026,B03,1,1,1,1,B,2
PN1_SID16,Zea_mays,ril,no,LANPT16B214,leaf,Sep082026,B04,1,1,3,2,D,2
PN1_SID17,Zea_mays,ril,no,LANPT16B354,leaf,Sep082026,B05,1,1,1,1,D,6
PN1_SID18,Zea_mays,ril,no,LANPT16B211,leaf,Sep082026,B06,1,1,1,1,E,15
PN1_SID19,Zea_mays,ril,no,LANPT16B323,leaf,Sep082026,B07,1,1,1,1,B,5
PN1_SID20,Zea_mays,ril,no,LANPT16B347,leaf,Sep082026,B08,1,1,1,1,C,1
PN1_SID21,Zea_mays,ril,no,LANPT16B021,leaf,Sep082026,B09,1,1,1,1,B,8
PN1_SID22,Zea_mays,ril,no,LANPT16B360,leaf,Sep082026,B10,1,1,1,1,B,3
PN1_SID23,Zea_mays,ril,no,LANPT16B223,leaf,Sep082026,B11,1,1,1,1,B,7
PN1_SID24,Zea_mays,nil,no,LANPT16BNIL092DH,leaf,Sep082026,B12,1,1,1,1,B,16
PN1_SID25,Zea_mays,nil,no,LANPT16BNIL084DH,leaf,Sep082026,C01,1,1,1,1,B,15
PN1_SID26,Zea_mays,ril,no,LANPT16B350,leaf,Sep082026,C02,1,1,1,1,E,1
PN1_SID27,Zea_mays,ril,no,LANPT16B171,leaf,Sep082026,C03,1,1,1,1,E,14
PN1_SID28,Zea_mays,nil,no,LANPT16BNIL090DH,leaf,Sep082026,C04,1,1,1,1,C,7
PN1_SID29,Zea_mays,ril,no,LANPT16B200,leaf,Sep082026,C05,1,1,1,1,A,15
PN1_SID30,Zea_mays,ril,no,LANPT16B236,leaf,Sep082026,C06,1,1,1,1,B,4
PN1_SID31,Zea_mays,ril,no,LANPT16B371,leaf,Sep082026,C07,1,1,1,1,E,8
PN1_SID32,Zea_mays,ril,no,LANPT16B060,leaf,Sep082026,C08,1,1,1,1,F,2
PN1_SID33,Zea_mays,ril,no,LANPT16B319,leaf,Sep082026,C09,1,1,1,1,D,12
PN1_SID34,Zea_mays,ril,no,LANPT16B160,leaf,Sep082026,C10,1,1,1,1,A,13
